"","open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
"1",2019-08-02 17:00:00,10523.75,10904.77,10497.93,10816.86,33802.318824,2019-08-03 16:59:59,363852799.87178,348893,18132.529707,195125820.479465,"BTCUSDT"
"2",2019-08-03 17:00:00,10816.86,11040,10552,10929.23,39924.745141,2019-08-04 16:59:59,431793873.423298,353721,22066.368257,238959952.235161,"BTCUSDT"
"3",2019-08-04 17:00:00,10929.99,11937.52,10927.8,11828.8,65153.673713,2019-08-05 16:59:59,757976547.217046,622610,33530.07066,389969213.398918,"BTCUSDT"
"4",2019-08-05 17:00:00,11830,12330.7,11226.7,11481.69,76705.389875,2019-08-06 16:59:59,904119081.615713,625827,37522.116972,442937542.040716,"BTCUSDT"
"5",2019-08-06 17:00:00,11481.69,12141.17,11382.84,11975.03,69173.390353,2019-08-07 16:59:59,814597979.050504,592916,36357.225918,428496665.570065,"BTCUSDT"
"6",2019-08-07 17:00:00,11975.04,12060,11521,11999.77,51207.257174,2019-08-08 16:59:59,604389131.062836,473584,27463.200763,324785966.126596,"BTCUSDT"
"7",2019-08-08 17:00:00,11994.17,12045.68,11700,11879.99,39427.152588,2019-08-09 16:59:59,467011047.941428,410902,20074.421911,238009297.579604,"BTCUSDT"
"8",2019-08-09 17:00:00,11879.98,11985,11270,11309.31,42633.087048,2019-08-10 16:59:59,492217964.490556,399237,17111.125076,197997879.109114,"BTCUSDT"
"9",2019-08-10 17:00:00,11309.24,11600,11112.11,11549.97,26772.90691,2019-08-11 16:59:59,304862403.351449,306234,15007.4382,171032610.991817,"BTCUSDT"
"10",2019-08-11 17:00:00,11539.08,11577.89,11235.32,11396.08,17568.227075,2019-08-12 16:59:59,200325471.604141,255966,9200.430879,104948602.152778,"BTCUSDT"
"11",2019-08-12 17:00:00,11398.35,11456.16,10788.45,10892.71,33234.72968,2019-08-13 16:59:59,368994475.546112,337834,13483.5587,149693332.126831,"BTCUSDT"
"12",2019-08-13 17:00:00,10893.36,10897.48,9928.1,10050.37,54451.847499,2019-08-14 16:59:59,567724729.105906,534507,26080.631381,271971667.550982,"BTCUSDT"
"13",2019-08-14 17:00:00,10055.16,10460,9911,10293.93,38174.45112,2019-08-15 16:59:59,387705855.087911,373368,19588.082918,199059445.604256,"BTCUSDT"
"14",2019-08-15 17:00:00,10296.77,10536.03,9750,10331.54,51758.142918,2019-08-16 16:59:59,527258446.397777,504740,25818.031537,263301246.898492,"BTCUSDT"
"15",2019-08-16 17:00:00,10331.15,10465.14,10000,10216.02,29000.581201,2019-08-17 16:59:59,297776329.030582,332795,14672.94974,150792759.345233,"BTCUSDT"
"16",2019-08-17 17:00:00,10216.05,10500,10080,10306.78,24085.395172,2019-08-18 16:59:59,248508872.459986,265705,12961.478557,133774771.716968,"BTCUSDT"
"17",2019-08-18 17:00:00,10306.17,10930,10258.6,10915.54,37243.319217,2019-08-19 16:59:59,396233441.02746,337022,20591.436572,219085855.344581,"BTCUSDT"
"18",2019-08-19 17:00:00,10914.73,10949.96,10560,10760.51,32298.921679,2019-08-20 16:59:59,346664453.136727,305065,16017.544729,172082522.178927,"BTCUSDT"
"19",2019-08-20 17:00:00,10760.51,10804.13,9858,10142.57,47355.719282,2019-08-21 16:59:59,482889274.517917,458814,21565.830561,219533134.865281,"BTCUSDT"
"20",2019-08-21 17:00:00,10140.82,10242,9762,10099.88,34059.642738,2019-08-22 16:59:59,341371442.906839,401148,17921.9543,179746967.235214,"BTCUSDT"
"21",2019-08-22 17:00:00,10099.9,10445,10019.79,10389.55,27550.336173,2019-08-23 16:59:59,282732431.752072,326866,14798.816338,151926638.080276,"BTCUSDT"
"22",2019-08-23 17:00:00,10388.16,10419.42,9890,10134.35,27692.456844,2019-08-24 16:59:59,279962133.62571,313227,13623.564841,137726211.363643,"BTCUSDT"
"23",2019-08-24 17:00:00,10134.61,10333,9906.97,10142.69,26271.657398,2019-08-25 16:59:59,265132761.317043,289956,12885.717735,130202473.090273,"BTCUSDT"
"24",2019-08-25 17:00:00,10142.69,10604,10137.93,10372.25,41687.511599,2019-08-26 16:59:59,432249835.490697,405316,22666.595452,235202578.436012,"BTCUSDT"
"25",2019-08-26 17:00:00,10373.6,10391.08,10051.08,10185.05,28402.775383,2019-08-27 16:59:59,289340681.078952,292888,13852.442138,141207845.029193,"BTCUSDT"
"26",2019-08-27 17:00:00,10185.69,10299,9601.01,9721,42110.555375,2019-08-28 16:59:59,420034883.003153,381293,19430.822573,194055407.180034,"BTCUSDT"
"27",2019-08-28 17:00:00,9721,9724,9320,9498.44,35532.69491,2019-08-29 16:59:59,337838761.557287,343887,17536.268448,166811264.082551,"BTCUSDT"
"28",2019-08-29 17:00:00,9499.01,9696,9350.41,9584.54,26834.318104,2019-08-30 16:59:59,255854874.450775,259270,14227.872851,135696420.419835,"BTCUSDT"
"29",2019-08-30 17:00:00,9582.76,9684.51,9420.75,9587.47,17130.290074,2019-08-31 16:59:59,164116756.462997,199188,8558.148214,82010834.3387509,"BTCUSDT"
"30",2019-08-31 17:00:00,9588.74,9830,9520,9724.98,19545.404843,2019-09-01 16:59:59,188513289.122357,191324,11545.610598,111464034.381124,"BTCUSDT"
"31",2019-09-01 17:00:00,9723.59,10450,9712.5,10340,44740.248093,2019-09-02 16:59:59,448462178.630381,354155,25140.296125,251933840.307948,"BTCUSDT"
"32",2019-09-02 17:00:00,10340,10773,10272,10615.28,47998.376781,2019-09-03 16:59:59,505617667.399267,416076,24734.303264,260488377.888127,"BTCUSDT"
